ID,Категория,Сценарий,Альтернатива,Дата_создания,Критерий_Заработная плата,Критерий_Карьерный рост,Критерий_Work-life balance,Критерий_Стабильность,Критерий_Престиж,Критерий_Интерес к работе,Критерий_Возможности обучения,Критерий_Рабочая атмосфера,Тревожность,Временное_давление,Важность_решения,Доступность_информации,Опыт_в_области,Финансовые_ресурсы,Социальная_поддержка,Эмоциональное_состояние,Уверенность_в_себе,Склонность_к_риску,Общая_оценка,Индекс_тревожности,Время_на_решение_часы,Уровень_сложности,Влияние_на_будущее,Обратимость_решения,Количество_заинтересованных_сторон,Критерий_Доходность,Критерий_Риск потерь,Критерий_Ликвидность,Критерий_Минимальная сумма,Критерий_Сроки инвестирования,Критерий_Налоговые льготы,Критерий_Инфляционная защита,Критерий_Простота управления,Критерий_Эмоциональная совместимость,Критерий_Финансовая стабильность,Критерий_Общие ценности,Критерий_Семейные планы,Критерий_Взаимная поддержка,Критерий_Физическая привлекательность,Критерий_Социальный статус,Критерий_Готовность к компромиссам,Критерий_Эффективность,Критерий_Стоимость,Критерий_Безопасность,Критерий_Время на выполнение,Критерий_Доступность,Критерий_Побочные эффекты,Критерий_Научная обоснованность,Критерий_Долгосрочные результаты,Критерий_Цена,Критерий_Местоположение,Критерий_Площадь,Критерий_Состояние жилья,Критерий_Инфраструктура,Критерий_Транспортная доступность,Критерий_Экология,Критерий_Безопасность района,Критерий_Бюджет поездки,Критерий_Климат,Критерий_Культурные достопримечательности,Критерий_Языковой барьер,Критерий_Виза и документы,Критерий_Качество сервиса,Критерий_Отзывы туристов,Критерий_Цена товара,Критерий_Качество,Критерий_Бренд,Критерий_Функциональность,Критерий_Дизайн,Критерий_Гарантия,Критерий_Отзывы покупателей,Критерий_Экологичность,Критерий_Общие интересы,Критерий_Время на общение,Критерий_Эмоциональная поддержка,Критерий_Взаимная выгода,Критерий_Надежность людей,Критерий_Позитивное влияние,Критерий_Географическая близость,Критерий_Личный интерес,Критерий_Стоимость занятий,Критерий_Время на хобби,Критерий_Социальные возможности,Критерий_Развитие навыков,Критерий_Физическая нагрузка,Критерий_Творческое самовыражение,Критерий_Практическая польза,Критерий_Духовная значимость,Критерий_Временные затраты,Критерий_Стоимость обучения,Критерий_Социальное принятие,Критерий_Совместимость с убеждениями,Критерий_Долгосрочное развитие,Критерий_Удобство использования,Критерий_Безопасность данных,Критерий_Стоимость услуг,Критерий_Совместимость,Критерий_Скорость работы,Критерий_Техническая поддержка,Критерий_Обновления и развитие,Критерий_Уровень защиты,Критерий_Стоимость решения,Критерий_Надежность системы,Критерий_Простота использования,Критерий_Скорость реагирования,Критерий_Покрытие рисков,Критерий_Репутация провайдера,Критерий_Гибкость условий
192,Покупки и потребление,Покупка автомобиля,Вариант_1,2025-04-04 06:42:47.824099,,,,,,,,,Средняя,Высокое,Средняя,Избыточная,Средний,Умеренные,Слабая,Негативное,Низкая,Нейтральная,4.6,10,43.0,9,7,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,5.9,3.3,1.0,7.7,1.1,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Покупки и потребление,Покупка автомобиля,Вариант_2,2024-10-18 06:42:47.824217,,,,,,,,,Средняя,Умеренное,Высокая,Избыточная,Средний,Значительные,Отсутствует,Позитивное,Низкая,Принятие,5.8,4,75.3,3,2,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,7.1,7.8,4.7,8.1,5.3,4.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Покупки и потребление,Покупка автомобиля,Вариант_3,2025-03-07 06:42:47.824274,,,,,,,,,Средняя,Высокое,Критическая,Недостаточная,Новичок,Умеренные,Отсутствует,Нейтральное,Низкая,Принятие,6.4,1,121.9,7,10,Необратимо,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.5,7.2,1.5,4.5,6.7,8.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Покупки и потребление,Выбор смартфона,Вариант_1,2024-10-26 06:42:47.824330,,,,,,,,,Низкая,Нет,Средняя,Избыточная,Новичок,Значительные,Отсутствует,Нейтральное,Низкая,Принятие,5.3,1,163.9,2,5,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,8.0,2.6,5.4,1.1,8.7,9.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Покупки и потребление,Выбор смартфона,Вариант_2,2024-09-19 06:42:47.824422,,,,,,,,,Высокая,Умеренное,Высокая,Достаточная,Новичок,Значительные,Отсутствует,Нейтральное,Средняя,Принятие,5.0,1,44.2,7,9,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.3,5.7,7.6,1.6,1.8,3.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Покупки и потребление,Выбор смартфона,Вариант_3,2024-12-13 06:42:47.824470,,,,,,,,,Средняя,Высокое,Критическая,Недостаточная,Средний,Умеренные,Сильная,Нейтральное,Высокая,Избегание,7.7,8,20.0,2,7,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,9.5,8.2,9.6,8.9,8.3,6.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Покупки и потребление,Выбор смартфона,Вариант_4,2024-09-15 06:42:47.824522,,,,,,,,,Средняя,Высокое,Высокая,Недостаточная,Эксперт,Ограниченные,Слабая,Нейтральное,Средняя,Избегание,5.6,10,45.6,4,8,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,8.2,4.7,4.2,5.8,7.3,3.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Покупки и потребление,Выбор смартфона,Вариант_5,2025-04-29 06:42:47.824569,,,,,,,,,Низкая,Высокое,Критическая,Избыточная,Новичок,Значительные,Отсутствует,Нейтральное,Средняя,Принятие,4.6,6,83.0,10,5,Частично обратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,8.9,2.9,2.8,3.2,6.6,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Покупки и потребление,Покупка одежды,Вариант_1,2025-04-06 06:42:47.824616,,,,,,,,,Высокая,Нет,Критическая,Недостаточная,Эксперт,Значительные,Слабая,Нейтральное,Высокая,Избегание,5.0,1,113.4,7,10,Легко обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,7.8,2.2,5.7,4.8,9.5,1.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Покупки и потребление,Покупка одежды,Вариант_2,2025-02-23 06:42:47.824660,,,,,,,,,Низкая,Умеренное,Высокая,Достаточная,Средний,Умеренные,Слабая,Негативное,Высокая,Избегание,5.0,10,115.4,2,5,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.3,5.9,3.1,5.2,6.5,4.3,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Покупки и потребление,Покупка одежды,Вариант_3,2025-02-13 06:42:47.824705,,,,,,,,,Высокая,Высокое,Высокая,Достаточная,Средний,Умеренные,Сильная,Позитивное,Низкая,Нейтральная,5.1,2,116.2,1,4,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.2,7.6,5.3,1.1,4.8,2.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Покупки и потребление,Покупка одежды,Вариант_4,2024-10-09 06:42:47.824748,,,,,,,,,Средняя,Высокое,Средняя,Избыточная,Эксперт,Значительные,Сильная,Позитивное,Низкая,Нейтральная,5.0,6,55.0,9,8,Необратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,7.7,3.3,4.2,6.0,8.3,4.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Покупки и потребление,Покупка одежды,Вариант_5,2025-07-18 06:42:47.824798,,,,,,,,,Высокая,Умеренное,Низкая,Недостаточная,Новичок,Умеренные,Отсутствует,Нейтральное,Средняя,Принятие,4.8,5,119.5,10,7,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.6,6.7,2.3,2.5,8.3,4.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Покупки и потребление,Выбор продуктов питания,Вариант_1,2024-10-31 06:42:47.824843,,,,,,,,,Высокая,Нет,Средняя,Недостаточная,Средний,Ограниченные,Отсутствует,Негативное,Средняя,Принятие,4.8,1,4.9,7,9,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.1,2.5,8.7,2.1,3.1,3.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Покупки и потребление,Выбор продуктов питания,Вариант_2,2025-04-15 06:42:47.824893,,,,,,,,,Высокая,Нет,Низкая,Недостаточная,Эксперт,Умеренные,Слабая,Нейтральное,Средняя,Принятие,5.0,5,92.4,3,9,Легко обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,1.8,9.4,4.5,3.1,7.6,5.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Покупки и потребление,Выбор продуктов питания,Вариант_3,2024-10-08 06:42:47.824947,,,,,,,,,Низкая,Умеренное,Высокая,Достаточная,Средний,Умеренные,Отсутствует,Нейтральное,Низкая,Избегание,6.4,9,137.1,3,6,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,8.9,4.9,6.8,5.8,9.2,5.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Покупки и потребление,Выбор продуктов питания,Вариант_4,2024-11-27 06:42:47.824990,,,,,,,,,Низкая,Высокое,Высокая,Недостаточная,Средний,Значительные,Слабая,Нейтральное,Низкая,Избегание,4.7,7,139.3,4,5,Легко обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,9.3,9.5,5.3,1.1,4.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Покупки и потребление,Подписка на сервисы,Вариант_1,2025-04-27 06:42:47.825041,,,,,,,,,Низкая,Нет,Средняя,Недостаточная,Средний,Ограниченные,Сильная,Нейтральное,Высокая,Нейтральная,5.9,5,117.8,8,4,Частично обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,8.2,6.5,7.2,3.4,6.8,5.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Покупки и потребление,Подписка на сервисы,Вариант_2,2025-06-11 06:42:47.825085,,,,,,,,,Низкая,Нет,Критическая,Недостаточная,Средний,Умеренные,Слабая,Нейтральное,Средняя,Нейтральная,4.1,1,55.8,3,1,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,5.8,2.7,1.9,3.4,7.4,7.5,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Покупки и потребление,Подписка на сервисы,Вариант_3,2025-07-22 06:42:47.825415,,,,,,,,,Средняя,Умеренное,Средняя,Избыточная,Новичок,Ограниченные,Слабая,Позитивное,Низкая,Принятие,5.4,4,79.7,5,6,Легко обратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,2.6,9.1,3.3,4.4,1.1,9.8,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Покупки и потребление,Подписка на сервисы,Вариант_4,2024-11-19 06:42:47.825503,,,,,,,,,Высокая,Умеренное,Высокая,Недостаточная,Новичок,Умеренные,Сильная,Негативное,Средняя,Избегание,5.2,1,162.8,10,8,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,3.3,6.7,2.8,9.0,8.8,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Покупки и потребление,Подписка на сервисы,Вариант_5,2025-02-18 06:42:47.825561,,,,,,,,,Средняя,Высокое,Средняя,Избыточная,Эксперт,Ограниченные,Отсутствует,Нейтральное,Низкая,Нейтральная,5.8,9,132.6,6,8,Необратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.2,5.5,7.2,4.0,9.7,7.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Покупки и потребление,Покупка бытовой техники,Вариант_1,2024-09-09 06:42:47.825609,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Эксперт,Умеренные,Слабая,Позитивное,Высокая,Избегание,5.2,2,89.5,8,5,Частично обратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,7.5,3.3,1.4,7.4,6.0,5.9,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Покупки и потребление,Покупка бытовой техники,Вариант_2,2025-01-07 06:42:47.825655,,,,,,,,,Высокая,Нет,Критическая,Недостаточная,Эксперт,Значительные,Слабая,Позитивное,Низкая,Принятие,4.5,5,54.5,6,2,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.7,4.4,2.7,1.2,8.7,8.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Покупки и потребление,Покупка бытовой техники,Вариант_3,2025-08-05 06:42:47.825700,,,,,,,,,Высокая,Умеренное,Высокая,Недостаточная,Средний,Ограниченные,Сильная,Позитивное,Низкая,Избегание,5.5,4,110.3,2,8,Необратимо,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,2.2,8.9,2.8,5.4,1.9,6.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Покупки и потребление,Выбор подарка,Вариант_1,2024-11-15 06:42:47.825745,,,,,,,,,Средняя,Нет,Средняя,Избыточная,Новичок,Ограниченные,Сильная,Негативное,Высокая,Нейтральная,6.8,4,32.8,4,10,Необратимо,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,9.0,8.4,8.1,1.5,6.6,5.8,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Покупки и потребление,Выбор подарка,Вариант_2,2024-11-15 06:42:47.825789,,,,,,,,,Низкая,Нет,Критическая,Избыточная,Средний,Значительные,Отсутствует,Позитивное,Высокая,Нейтральная,5.8,6,151.7,9,6,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,4.7,1.9,6.7,4.2,5.1,7.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Покупки и потребление,Выбор подарка,Вариант_3,2024-10-07 06:42:47.825843,,,,,,,,,Средняя,Умеренное,Критическая,Недостаточная,Эксперт,Ограниченные,Слабая,Позитивное,Низкая,Принятие,6.1,3,166.9,5,1,Частично обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,7.5,6.5,6.1,2.9,7.9,9.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Покупки и потребление,Выбор подарка,Вариант_4,2025-05-10 06:42:47.825888,,,,,,,,,Низкая,Нет,Низкая,Достаточная,Средний,Ограниченные,Отсутствует,Нейтральное,Средняя,Принятие,6.3,4,39.5,5,2,Необратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,1.2,8.4,7.2,3.5,6.0,6.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Покупки и потребление,Онлайн или офлайн покупки,Вариант_1,2025-05-08 06:42:47.825967,,,,,,,,,Высокая,Высокое,Высокая,Недостаточная,Эксперт,Значительные,Слабая,Негативное,Низкая,Нейтральная,7.1,6,147.9,7,7,Легко обратимо,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.5,8.1,2.6,8.4,7.2,6.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Покупки и потребление,Онлайн или офлайн покупки,Вариант_2,2024-09-27 06:42:47.826012,,,,,,,,,Средняя,Высокое,Средняя,Недостаточная,Новичок,Значительные,Сильная,Нейтральное,Средняя,Принятие,6.1,10,85.0,4,7,Частично обратимо,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.4,6.7,6.7,1.5,5.7,3.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Покупки и потребление,Онлайн или офлайн покупки,Вариант_3,2025-06-13 06:42:47.826063,,,,,,,,,Низкая,Нет,Критическая,Избыточная,Новичок,Умеренные,Слабая,Позитивное,Высокая,Избегание,3.9,9,103.7,9,4,Легко обратимо,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.7,6.1,1.4,4.6,1.8,5.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Покупки и потребление,Онлайн или офлайн покупки,Вариант_4,2025-04-13 06:42:47.826107,,,,,,,,,Высокая,Высокое,Низкая,Достаточная,Новичок,Умеренные,Сильная,Нейтральное,Высокая,Избегание,5.4,8,8.0,4,4,Необратимо,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.9,9.3,1.8,7.0,4.8,4.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Покупки и потребление,Онлайн или офлайн покупки,Вариант_5,2025-06-09 06:42:47.826153,,,,,,,,,Низкая,Умеренное,Низкая,Достаточная,Средний,Умеренные,Отсутствует,Нейтральное,Низкая,Принятие,7.0,9,36.0,9,9,Частично обратимо,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.7,2.0,1.5,9.5,9.3,8.8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Социальная жизнь,Выбор круга общения,Вариант_1,2025-06-16 06:42:47.826199,,,,,,,,,Высокая,Высокое,Высокая,Недостаточная,Средний,Значительные,Отсутствует,Негативное,Средняя,Принятие,5.2,5,111.5,6,2,Легко обратимо,5,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.0,4.4,9.2,5.7,3.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Социальная жизнь,Выбор круга общения,Вариант_2,2024-09-29 06:42:47.826247,,,,,,,,,Низкая,Высокое,Критическая,Избыточная,Эксперт,Ограниченные,Отсутствует,Негативное,Высокая,Нейтральная,6.2,6,82.6,3,1,Частично обратимо,6,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,9.8,5.6,7.4,9.1,5.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Социальная жизнь,Выбор круга общения,Вариант_3,2025-02-27 06:42:47.826292,,,,,,,,,Низкая,Высокое,Высокая,Недостаточная,Новичок,Умеренные,Слабая,Позитивное,Низкая,Избегание,7.2,7,87.7,10,4,Частично обратимо,4,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.1,9.8,5.5,8.3,6.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Социальная жизнь,Выбор круга общения,Вариант_4,2024-11-07 06:42:47.826379,,,,,,,,,Низкая,Нет,Высокая,Избыточная,Эксперт,Значительные,Отсутствует,Нейтральное,Низкая,Принятие,5.3,10,154.1,6,2,Необратимо,2,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,9.7,9.2,4.0,5.9,2.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Социальная жизнь,Выбор круга общения,Вариант_5,2025-05-25 06:42:47.826448,,,,,,,,,Высокая,Высокое,Высокая,Недостаточная,Новичок,Ограниченные,Отсутствует,Негативное,Низкая,Принятие,6.4,10,45.2,10,10,Легко обратимо,4,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,8.9,7.5,7.9,8.9,4.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Социальная жизнь,Участие в мероприятиях,Вариант_1,2024-09-10 06:42:47.826503,,,,,,,,,Средняя,Умеренное,Критическая,Недостаточная,Новичок,Ограниченные,Отсутствует,Негативное,Средняя,Избегание,4.6,5,159.7,4,4,Легко обратимо,2,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.7,8.0,2.2,8.6,5.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Социальная жизнь,Участие в мероприятиях,Вариант_2,2025-05-29 06:42:47.826555,,,,,,,,,Низкая,Высокое,Критическая,Избыточная,Средний,Умеренные,Сильная,Позитивное,Высокая,Принятие,6.3,9,88.5,1,9,Легко обратимо,8,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.9,8.8,5.4,3.9,5.1,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Социальная жизнь,Участие в мероприятиях,Вариант_3,2025-01-06 06:42:47.826601,,,,,,,,,Высокая,Нет,Средняя,Достаточная,Средний,Умеренные,Слабая,Нейтральное,Средняя,Избегание,6.2,7,49.8,1,9,Легко обратимо,8,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,1.4,10.0,5.7,4.6,7.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Социальная жизнь,Конфликт с друзьями,Вариант_1,2025-01-08 06:42:47.826649,,,,,,,,,Низкая,Нет,Критическая,Избыточная,Эксперт,Ограниченные,Слабая,Негативное,Средняя,Нейтральная,4.9,3,120.8,2,2,Легко обратимо,8,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,5.5,2.6,6.3,9.0,5.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Социальная жизнь,Конфликт с друзьями,Вариант_2,2024-10-07 06:42:47.826718,,,,,,,,,Низкая,Умеренное,Средняя,Недостаточная,Новичок,Ограниченные,Сильная,Негативное,Средняя,Нейтральная,5.8,5,122.8,8,5,Необратимо,3,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.7,4.5,8.1,5.6,9.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Социальная жизнь,Конфликт с друзьями,Вариант_3,2025-06-28 06:42:47.826893,,,,,,,,,Высокая,Умеренное,Средняя,Недостаточная,Эксперт,Значительные,Слабая,Нейтральное,Средняя,Нейтральная,6.0,2,101.2,1,4,Необратимо,5,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.6,1.0,7.9,1.1,5.5,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Социальная жизнь,Конфликт с друзьями,Вариант_4,2024-10-14 06:42:47.826968,,,,,,,,,Высокая,Высокое,Высокая,Достаточная,Новичок,Ограниченные,Отсутствует,Нейтральное,Низкая,Избегание,3.7,5,102.9,10,10,Необратимо,3,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8.4,2.9,2.7,1.5,4.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Социальная жизнь,Конфликт с друзьями,Вариант_5,2025-01-06 06:42:47.827017,,,,,,,,,Высокая,Нет,Высокая,Достаточная,Новичок,Ограниченные,Сильная,Нейтральное,Средняя,Принятие,6.3,7,88.4,4,10,Легко обратимо,2,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,4.2,1.3,7.9,3.9,9.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Социальная жизнь,Новые знакомства,Вариант_1,2024-10-09 06:42:47.827075,,,,,,,,,Средняя,Высокое,Высокая,Недостаточная,Эксперт,Значительные,Слабая,Позитивное,Высокая,Принятие,6.3,8,83.0,3,10,Легко обратимо,5,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.8,7.5,6.4,8.1,7.4,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Социальная жизнь,Новые знакомства,Вариант_2,2025-05-20 06:42:47.827127,,,,,,,,,Средняя,Умеренное,Средняя,Недостаточная,Эксперт,Ограниченные,Сильная,Нейтральное,Средняя,Избегание,5.3,5,50.8,9,6,Легко обратимо,2,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2,6.6,2.1,8.6,8.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Социальная жизнь,Новые знакомства,Вариант_3,2024-09-10 06:42:47.827172,,,,,,,,,Средняя,Умеренное,Низкая,Избыточная,Новичок,Умеренные,Отсутствует,Позитивное,Средняя,Принятие,6.7,6,78.0,7,1,Необратимо,5,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.6,6.1,9.6,8.5,2.7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Социальная жизнь,Новые знакомства,Вариант_4,2024-11-11 06:42:47.827223,,,,,,,,,Низкая,Умеренное,Низкая,Достаточная,Средний,Значительные,Сильная,Негативное,Высокая,Принятие,6.1,7,31.9,2,5,Необратимо,6,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,3.8,5.8,2.9,7.2,8.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Социальная жизнь,Новые знакомства,Вариант_5,2024-08-29 06:42:47.827268,,,,,,,,,Низкая,Умеренное,Низкая,Недостаточная,Новичок,Умеренные,Сильная,Негативное,Средняя,Принятие,4.5,3,32.4,8,9,Частично обратимо,6,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,4.7,5.5,3.1,5.1,9.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Социальная жизнь,Социальные сети,Вариант_1,2025-07-08 06:42:47.827320,,,,,,,,,Низкая,Умеренное,Низкая,Избыточная,Эксперт,Ограниченные,Слабая,Нейтральное,Низкая,Избегание,6.6,9,128.8,5,1,Необратимо,5,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.4,7.1,2.2,7.5,5.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
